Time,FCC.TIC1303.PV.csv,FCC.PI1301.PV.csv,FCC.FIC1311.PV.csv,FCC.TIC1402.PV.csv,FCC.TIC1402-1.PV.csv,FCC.FI1400.PV.csv,FCC.FIC1402-1.PV.csv,FCC.FVC1402.PV.csv,FCC.TI1419.PV.csv,FCC.LIC1404.PV.csv,FCC.TI1418.PV.csv,FCC.PDI1414.PV.csv,wdqy
2021/3/1 17:00,129.4744,0.191211,0,170.4151,170.4581,0,80.02824,79.81603,164.5777,49.74672,0,110.1615,198.5
2021/3/2 7:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/3/2 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/3/3 7:00,132.5783,0.1913302,0,168.4267,168.5555,0,81.08163,81.02037,162.398,49.67325,0,110.1711,198
2021/3/3 17:00,129.5029,0.1926654,0,167.6399,167.6256,0,81.86201,81.74035,161.6714,53.36647,0,110.1663,199
2021/3/4 7:00,0,0,0,0,0,0,0,0,0,0,0,0,199
2021/3/4 17:00,0,0,0,0,0,0,0,0,0,0,0,0,199
2021/3/5 7:00,130.9857,0.1924687,0,170.5582,170.4223,0,80.74865,80.88096,164.5026,48.62857,0,110.1639,199
2021/3/5 17:00,130.6155,0.1922541,0,169.0561,169.0418,0.3293586,81.8569,81.91639,163.0494,49.90522,162.9242,0,197.5
2021/3/6 7:00,0,0,0,0,0,0,0,0,0,0,0,0,198.5
2021/3/6 17:00,0,0,0,0,0,0,0,0,0,0,0,0,199
2021/3/7 7:00,129.5085,0.1924687,0,168.2836,168.2622,0.3464343,81.93846,81.84338,162.4732,46.1828,0,110.1687,200.5
2021/3/7 17:00,130.3289,0.1926416,0,168.6913,168.6913,0.3464343,81.85544,81.95788,162.4732,46.52135,162.423,0,201.5
2021/3/8 7:00,0,0,0,0,0,0,0,0,0,0,0,0,199
2021/3/8 17:00,0,0,0,0,0,0,0,0,0,0,0,0,199.5
2021/3/9 7:00,131.3659,0.1919203,0,168.3266,168.2908,0.3464343,82.16306,82.00224,162.3479,47.49845,162.2727,0,198.5
2021/3/9 17:00,129.4032,0.1927846,0,167.5755,167.5398,0.3464343,82.4372,82.39345,161.3457,46.24874,161.2956,110.1615,197
2021/3/10 7:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/3/10 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/3/11 7:00,129.8084,0.1918429,0,167.7758,167.7973,0,80.99297,81.1014,161.6464,45.63414,161.5712,110.1687,197.5
2021/3/11 17:00,128.8793,0.1923018,0,169.2636,169.2993,0.3464343,81.03252,80.71293,162.9492,47.6423,0,110.1639,199
2021/3/12 7:00,0,0,0,0,0,0,0,0,0,0,0,0,198
2021/3/12 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/3/13 7:00,130.2516,0.192117,0,168.2765,168.2836,0.3293586,80.87888,80.79324,162.2977,47.61201,162.0222,110.1663,197
2021/3/13 17:00,130.623,0.1926118,0,167.411,167.4039,0,81.0985,81.035,161.3207,47.52853,161.0952,110.1615,197
2021/3/14 7:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/3/14 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197.5
2021/3/15 7:00,129.7481,0.1918369,0,168.8129,168.77,0,79.45602,79.47296,162.6235,46.8218,162.7488,110.1663,199
2021/3/15 17:00,131.177,0.1913362,0,169.0275,169.0275,0,81.05743,81.16307,162.7989,48.01138,162.7488,0,202
2021/3/16 7:00,0,0,0,0,0,0,0,0,0,0,0,0,200
2021/3/16 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197.5
2021/3/17 7:00,129.5359,0.1922601,0,167.5469,0,0.3293586,79.21922,79.21024,161.8468,47.44748,0,110.1687,201
2021/3/17 17:00,128.8735,0.1928979,0,166.6314,166.6385,0,80.04153,80.01338,160.9449,47.66915,160.8195,0,199
