tag,collect_time,value,org_code
FCC.1LUSHUI.PH,2020-09-21 17:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-09-22 07:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-09-22 17:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-09-23 07:00:00,11,440100010001001
FCC.1LUSHUI.PH,2020-09-23 17:00:00,11,440100010001001
FCC.1LUSHUI.PH,2020-09-24 07:00:00,11,440100010001001
FCC.1LUSHUI.PH,2020-09-24 17:00:00,10.7,440100010001001
FCC.1LUSHUI.PH,2020-09-25 07:00:00,9.3,440100010001001
FCC.1LUSHUI.PH,2020-09-25 17:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-09-26 07:00:00,10.3,440100010001001
FCC.1LUSHUI.PH,2020-09-26 17:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-09-27 07:00:00,11,440100010001001
FCC.1LUSHUI.PH,2020-09-27 17:00:00,10.8,440100010001001
FCC.1LUSHUI.PH,2020-09-28 07:00:00,10.6,440100010001001
FCC.1LUSHUI.PH,2020-09-28 17:00:00,10.4,440100010001001
FCC.1LUSHUI.PH,2020-09-29 07:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-09-29 17:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-09-30 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-09-30 17:00:00,10.2,440100010001001
FCC.1LUSHUI.PH,2020-10-01 07:00:00,11,440100010001001
FCC.1LUSHUI.PH,2020-10-01 17:00:00,10.8,440100010001001
FCC.1LUSHUI.PH,2020-10-02 07:00:00,10.6,440100010001001
FCC.1LUSHUI.PH,2020-10-05 07:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-10-02 07:00:00,10.6,440100010001001
FCC.1LUSHUI.PH,2020-10-05 07:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-10-05 07:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-10-07 07:00:00,10.8,440100010001001
FCC.1LUSHUI.PH,2020-10-07 07:00:00,10.8,440100010001001
FCC.1LUSHUI.PH,2020-10-09 07:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-10-09 07:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-10-12 07:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-10-09 07:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-10-12 07:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-10-14 07:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-10-12 07:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-10-14 07:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-10-16 07:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-10-14 07:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-10-16 07:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-10-19 07:00:00,10.8,440100010001001
FCC.1LUSHUI.PH,2020-10-16 07:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-10-19 07:00:00,10.8,440100010001001
FCC.1LUSHUI.PH,2020-10-19 07:00:00,10.8,440100010001001
FCC.1LUSHUI.PH,2020-10-21 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-10-21 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-10-23 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-10-23 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-10-26 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-10-23 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-10-26 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-10-28 07:00:00,9.6,440100010001001
FCC.1LUSHUI.PH,2020-10-26 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-10-28 07:00:00,9.6,440100010001001
FCC.1LUSHUI.PH,2020-10-30 07:00:00,10.4,440100010001001
FCC.1LUSHUI.PH,2020-10-28 07:00:00,9.6,440100010001001
FCC.1LUSHUI.PH,2020-10-30 07:00:00,10.4,440100010001001
FCC.1LUSHUI.PH,2020-11-02 07:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-10-30 07:00:00,10.4,440100010001001
FCC.1LUSHUI.PH,2020-11-02 07:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-11-02 07:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-11-04 07:00:00,10.3,440100010001001
FCC.1LUSHUI.PH,2020-11-04 07:00:00,10.3,440100010001001
FCC.1LUSHUI.PH,2020-11-06 07:00:00,10.3,440100010001001
FCC.1LUSHUI.PH,2020-11-06 07:00:00,10.3,440100010001001
FCC.1LUSHUI.PH,2020-11-09 07:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-11-06 07:00:00,10.3,440100010001001
