序号,Name,TagNo,仪表描述,单位,量程上限,量程下限,SourceTag,CollectorName
202,HLU1_PIC3408_PV,,D3407出口1.0MPa蒸汽压力调节,MPA,1.6,0,PIC3408.PV,RDI_HLU1
203,HLU1_PIC3501_PV,,F3101炉膛负压控制,PA,100,-100,PIC3501.PV,RDI_HLU1
204,HLU1_PIC3502_PV,,F3201炉膛负压调节,PA,0,-400,PIC3502.PV,RDI_HLU1
205,HLU1_PIC3762A_PV,,K3101A二段入口压控,MPA,9999,-9999,PIC3762A.PV,RDI_HLU1
206,HLU1_PIC3762B_PV,,K3101B二段出口压力调节,MPA,10,0,PIC3762B.PV,RDI_HLU1
207,HLU1_PIC3762C_PV,,K3101C二段出口压力调节,MPA,10,0,PIC3762C.PV,RDI_HLU1
208,HLU1_PIC3762D_PV,,K3102D二段入口压控,MPA,6,-10,PIC3762D.PV,RDI_HLU1
209,HLU1_PIC3763A_PV,,K3101A三段入口压力调节,MPA,9999,-9999,PIC3763A.PV,RDI_HLU1
210,HLU1_PIC3763B_PV,,K3101B三段出口压力调节,MPA,15,0,PIC3763B.PV,RDI_HLU1
211,HLU1_PIC3763C_PV,,K3101C三段出口压力调节,MPA,15,0,PIC3763C.PV,RDI_HLU1
212,HLU1_PIC3763D_PV,,K3101D三段入口压力调节,MPA,13,0,PIC3763D.PV,RDI_HLU1
213,HLU1_PS3761A_PV,,,,99999,-99,PS3761A.PV,RDI_HLU1
214,HLU1_PS3761B_PV,,,,99999,-99,PS3761B.PV,RDI_HLU1
215,HLU1_PS3761C_PV,,,,99999,-99,PS3761C.PV,RDI_HLU1
216,HLU1_PS3761D_PV,,,,99999,-99,PS3761D.PV,RDI_HLU1
217,HLU1_PS3762A_PV,,,,99999,-99,PS3762A.PV,RDI_HLU1
218,HLU1_PS3762B_PV,,,,99999,-99,PS3762B.PV,RDI_HLU1
219,HLU1_PS3762C_PV,,,,99999,-99,PS3762C.PV,RDI_HLU1
220,HLU1_PS3762D_PV,,,,99999,-99,PS3762D.PV,RDI_HLU1
221,HLU1_PS3763A_PV,,,,99999,-99,PS3763A.PV,RDI_HLU1
222,HLU1_PS3763B_PV,,,,99999,-99,PS3763B.PV,RDI_HLU1
223,HLU1_PS3763C_PV,,,,99999,-99,PS3763C.PV,RDI_HLU1
224,HLU1_PS3763D_PV,,,,99999,-99,PS3763D.PV,RDI_HLU1
225,HLU1_TH3119_PV,,（TI3119A、B、C、D）高选,DEGC,600,0,TH3119.PV,RDI_HLU1
226,HLU1_TH3120_PV,,（TI3120A、B、C、D高选）,DEGC,600,0,TH3120.PV,RDI_HLU1
227,HLU1_TH3121_PV,,R3101中部温度,DEGC,600,0,TH3121.PV,RDI_HLU1
228,HLU1_TH3121W_PV,,（TI3121AW、BW、CW、DW高选）,DEGC,600,0,TH3121W.PV,RDI_HLU1
229,HLU1_TH3122_PV,,THS3122与TI3122D高选,DEGC,600,0,TH3122.PV,RDI_HLU1
230,HLU1_TH3123_PV,,THS3123与TI3123D高选,DEGC,600,0,TH3123.PV,RDI_HLU1
